,RMSE,RMSE,RMSE,RMSE,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%,Normalized_RMSE_%
,Claude,GPT5,Grok,DeepSeek,Claude,GPT5,Grok,DeepSeek
0.024,1.535357766808768e-05,2.586766545692999e-08,2.586766545692999e-08,8.534090868096824e-07,0.004644461646009671,7.824976216210096e-06,7.824976216210096e-06,0.0002581564934068807
0.025,1.6607973172830975e-05,2.806362952720162e-08,2.806362952720162e-08,9.881220873095449e-07,0.005024039757902193,8.48946400794706e-06,8.48946400794706e-06,0.0002989145394590156
0.026000000000000002,1.7905140674352645e-05,3.034849510671565e-08,3.034849510671565e-08,1.138065964605452e-06,0.0054165810656689175,9.1808875985011e-06,9.1808875985011e-06,0.0003442824978300259
0.027,1.9244113771733483e-05,3.272218235211852e-08,3.272218235211852e-08,1.3042849877961561e-06,0.005821795379860361,9.899226968629158e-06,9.899226968629158e-06,0.0003945767732430579
0.028,2.0623896803610925e-05,3.5184609671480775e-08,3.5184609671480775e-08,1.4878408632461483e-06,0.006239383704620844,1.0644461729426698e-05,1.0644461729426698e-05,0.0004501191082173026
0.029,2.2043465798624788e-05,3.77356937738173e-08,3.77356937738173e-08,1.689810332327549e-06,0.00666903852107397,1.1416571137045925e-05,1.1416571137045925e-05,0.0005112358602114323
0.03,2.350176945320778e-05,4.0375349816569074e-08,4.0375349816569074e-08,1.911282789070617e-06,0.007110444078899339,1.2215534137048916e-05,1.2215534137048916e-05,0.0005782572847422116
0.031,2.4997730135730513e-05,4.31034915934246e-08,4.31034915934246e-08,2.1533579248175107e-06,0.007563276695808516,1.3041329420968232e-05,1.3041329420968232e-05,0.0006515168266109023
0.032,2.6530244916343078e-05,4.5920031513318215e-08,4.5920031513318215e-08,2.4171434070827197e-06,0.008027205064729127,1.3893935419689979e-05,1.3893935419689979e-05,0.0007313504214037055
0.033,2.8098186621056425e-05,4.88248808183156e-08,4.88248808183156e-08,2.703752599442131e-06,0.008501890568264333,1.477333036911336e-05,1.477333036911336e-05,0.000818095809317853
0.034,2.970040490974608e-05,5.1817949624151316e-08,5.1817949624151316e-08,3.0143023293772866e-06,0.008986987600339821,1.5679492322155777e-05,1.5679492322155777e-05,0.0009120918633974514
0.035,3.133572737645596e-05,5.4899147052003037e-08,5.4899147052003037e-08,3.3499107107150673e-06,0.009482143894555746,1.661239918836515e-05,1.661239918836515e-05,0.001013677934177454
0.036000000000000004,3.30029606714364e-05,5.806838134015151e-08,5.806838134015151e-08,3.711695027460965e-06,0.009987000859080872,1.757202876745083e-05,1.757202876745083e-05,0.0011231932127829154
0.037,3.470089164365507e-05,6.13255598404607e-08,6.13255598404607e-08,4.100769685035669e-06,0.010501193917715774,1.8558358747963527e-05,1.8558358747963527e-05,0.0012409761142931235
0.038,3.6428288502785366e-05,6.467058929553454e-08,6.467058929553454e-08,4.518244235314464e-06,0.011024352856832512,1.957136679091456e-05,1.957136679091456e-05,0.0013673636832992424
0.039,3.818390199954946e-05,6.810337574549783e-08,6.810337574549783e-08,4.965221481346564e-06,0.011556102177859792,2.061103050132062e-05,2.061103050132062e-05,0.0015026910234271571
