Element	Node1	Node2	Type	Length	Sample Points (every 200mm)

0	0	12	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
2400.0	0.057315	0.034500	-0.055943	1.009105e-05	-1.253814e-05	-6.343483e-06
2600.0	0.059554	0.035889	-0.056592	1.050629e-05	-1.254842e-05	-6.751852e-06
2800.0	0.061793	0.037278	-0.057241	1.092153e-05	-1.255870e-05	-7.160221e-06
3000.0	0.064032	0.038667	-0.057890	1.133677e-05	-1.256897e-05	-7.568590e-06

12	5	17	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.000000	0.000000	-0.000000	5.266609e-19	-4.019442e-19	-2.036223e-20
200.0	0.000659	0.000389	-0.002067	9.568903e-08	-4.352470e-07	-3.216558e-08
400.0	0.001318	0.000778	-0.004134	1.913781e-07	-8.704941e-07	-6.433116e-08
600.0	0.001977	0.001167	-0.006202	2.870671e-07	-1.305741e-06	-9.649673e-08
800.0	0.002636	0.001556	-0.008269	3.827561e-07	-1.740988e-06	-1.286623e-07
1000.0	0.003295	0.001945	-0.010336	4.784452e-07	-2.176235e-06	-1.608279e-07
1200.0	0.003954	0.002334	-0.012403	5.741342e-07	-2.611482e-06	-1.929935e-07
1400.0	0.004613	0.002723	-0.014470	6.698232e-07	-3.046729e-06	-2.251590e-07
1600.0	0.005273	0.003112	-0.016537	7.655123e-07	-3.481976e-06	-2.573246e-07
1800.0	0.005932	0.003501	-0.018605	8.612013e-07	-3.917223e-06	-2.894902e-07
2000.0	0.006591	0.003890	-0.020672	9.568903e-07	-4.352470e-06	-3.216558e-07
2200.0	0.007250	0.004278	-0.022739	1.052579e-06	-4.787717e-06	-3.538214e-07
2400.0	0.007909	0.004667	-0.024806	1.148268e-06	-5.222965e-06	-3.859869e-07
2600.0	0.008568	0.005056	-0.026873	1.243957e-06	-5.658212e-06	-4.181525e-07
2800.0	0.009227	0.005445	-0.028940	1.339646e-06	-6.093459e-06	-4.503181e-07
3000.0	0.009886	0.005834	-0.031008	1.435335e-06	-6.528706e-06	-4.824837e-07

13	17	29	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.009886	0.005834	-0.031008	1.435335e-06	-6.528706e-06	-4.824837e-07
200.0	0.011723	0.006640	-0.032388	1.559638e-06	-6.983191e-06	-5.708983e-07
400.0	0.013561	0.007446	-0.033768	1.683940e-06	-7.437676e-06	-6.593130e-07
600.0	0.015398	0.008253	-0.035149	1.808243e-06	-7.892161e-06	-7.477276e-07
800.0	0.017235	0.009059	-0.036529	1.932545e-06	-8.346647e-06	-8.361423e-07
1000.0	0.019072	0.009865	-0.037909	2.056848e-06	-8.801132e-06	-9.245569e-07
1200.0	0.020910	0.010671	-0.039290	2.181150e-06	-9.255617e-06	-1.012972e-06
1400.0	0.022747	0.011477	-0.040670	2.305453e-06	-9.710103e-06	-1.101386e-06
1600.0	0.024584	0.012283	-0.042050	2.429755e-06	-1.016459e-05	-1.189801e-06
1800.0	0.026422	0.013089	-0.043431	2.554058e-06	-1.061907e-05	-1.278216e-06
2000.0	0.028259	0.013895	-0.044811	2.678360e-06	-1.107356e-05	-1.366630e-06
2200.0	0.030096	0.014701	-0.046191	2.802663e-06	-1.152804e-05	-1.455045e-06
2400.0	0.031934	0.015507	-0.047572	2.926965e-06	-1.198253e-05	-1.543460e-06
2600.0	0.033771	0.016313	-0.048952	3.051268e-06	-1.243701e-05	-1.631874e-06
2800.0	0.035608	0.017120	-0.050332	3.175570e-06	-1.289150e-05	-1.720289e-06
3000.0	0.037445	0.017926	-0.051713	3.299872e-06	-1.334598e-05	-1.808703e-06

14	29	41	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.037445	0.017926	-0.051713	3.299872e-06	-1.334598e-05	-1.808703e-06
200.0	0.040075	0.019290	-0.052391	3.212556e-06	-1.329828e-05	-2.082036e-06
400.0	0.042705	0.020654	-0.053068	3.125240e-06	-1.325057e-05	-2.355369e-06
600.0	0.045335	0.022018	-0.053746	3.037924e-06	-1.320287e-05	-2.628702e-06
800.0	0.047965	0.023382	-0.054424	2.950608e-06	-1.315516e-05	-2.902035e-06
1000.0	0.050595	0.024746	-0.055102	2.863292e-06	-1.310746e-05	-3.175368e-06
1200.0	0.053225	0.026111	-0.055780	2.775976e-06	-1.305975e-05	-3.448701e-06
1400.0	0.055855	0.027475	-0.056457	2.688659e-06	-1.301205e-05	-3.722034e-06
1600.0	0.058485	0.028839	-0.057135	2.601343e-06	-1.296434e-05	-3.995367e-06
1800.0	0.061115	0.030203	-0.057813	2.514027e-06	-1.291663e-05	-4.268700e-06
2000.0	0.063745	0.031567	-0.058491	2.426711e-06	-1.286893e-05	-4.542032e-06
2200.0	0.066375	0.032932	-0.059169	2.339395e-06	-1.282122e-05	-4.815365e-06
2400.0	0.069005	0.034296	-0.059846	2.252079e-06	-1.277352e-05	-5.088698e-06
2600.0	0.071635	0.035660	-0.060524	2.164762e-06	-1.272581e-05	-5.362031e-06
2800.0	0.074265	0.037024	-0.061202	2.077446e-06	-1.267811e-05	-5.635364e-06
3000.0	0.076895	0.038388	-0.061880	1.990130e-06	-1.263040e-05	-5.908697e-06

15	9	21	Column	3000.0
Dist(mm)	ux	uy	uz	θx	θy	θz
0.0	0.000000	0.000000	-0.000000	7.622031e-19	-6.020408e-19	-8.651939e-21
200.0	0.000812	0.000393	-0.001806	-3.104399e-08	-4.762984e-07	-1.366720e-08
400.0	0.001623	0.000787	-0.003612	-6.208798e-08	-9.525968e-07	-2.733440e-08
600.0	0.002435	0.001180	-0.005418	-9.313197e-08	-1.428895e-06	-4.100160e-08
800.0	0.003246	0.001574	-0.007224	-1.241760e-07	-1.905194e-06	-5.466880e-08
1000.0	0.004058	0.001967	-0.009030	-1.552200e-07	-2.381492e-06	-6.833600e-08
1200.0	0.004869	0.002360	-0.010836	-1.862639e-07	-2.857790e-06	-8.200320e-08
1400.0	0.005681	0.002754	-0.012642	-2.173079e-07	-3.334089e-06	-9.567041e-08
1600.0	0.006492	0.003147	-0.014448	-2.483519e-07	-3.810387e-06	-1.093376e-07
1800.0	0.007304	0.003540	-0.016254	-2.793959e-07	-4.286686e-06	-1.230048e-07
2000.0	0.008115	0.003934	-0.018060	-3.104399e-07	-4.762984e-06	-1.366720e-07
